Dim1,Dim2,Word
-47.7273,42.776318,PM
-22.979952,66.65624,denies
-9.285639,60.129364,knowledge
-48.408558,55.219532,of
2.9726794,77.090324,AWB
-14.250451,70.44014,kickbacks
-25.394724,76.28855,The
-52.16448,29.059303,Prime
27.6169,54.85363,Minister
18.954388,62.827896,has
-56.30144,10.058684,denied
17.373863,71.68275,he
15.245148,73.00922,knew
-48.35577,30.193783,was
-33.987747,48.719254,paying
-48.59808,23.605919,to
-28.749762,72.86424,Iraq
-5.105322,80.94803,despite
18.79895,71.75756,writing
7.987187,71.92063,the
-3.8589234,81.4656,wheat
12.149576,69.46196,exporter
4.303104,76.69685,asking
-52.21589,29.77792,be
4.3674345,76.64178,kept
-3.85105,81.53356,fully
-52.24449,29.982296,informed
11.620191,66.991104,on
-5.0063124,76.79987,sales
23.111565,62.799995,.
21.979927,71.77207,Letters
-34.267662,49.01191,from
15.489637,73.37678,John
-35.83961,16.156176,Howard
-28.40403,67.05325,and
21.923447,71.73203,Deputy
-37.192406,71.13179,Mark
-25.394709,76.29053,Vaile
-14.81706,78.32681,have
-54.789146,25.081913,been
-11.108422,77.3614,released
18.885122,62.86243,by
-10.176153,75.9928,Cole
-0.86032826,75.69495,inquiry
23.096657,62.908745,into
-39.34334,71.59866,oil
1.3412124,76.75325,for
18.748589,71.6804,food
14.928844,75.10854,program
-43.73129,74.64851,In
23.047005,62.839508,one
-55.1958,33.924065,letters
-56.141388,17.216904,Mr
12.325749,70.254814,asks
-43.137196,46.06734,managing
-5.003752,80.999596,director
-20.912893,75.40183,Andrew
18.234056,74.61487,Lindberg
21.439774,67.875336,remain
13.537419,70.08782,in
-43.28165,73.763176,close
21.861504,71.69349,contact
10.252977,70.27131,with
-43.557785,48.13234,Government
19.165266,71.12389,Opposition
-40.22876,74.08049,'
-12.17967,76.21172,s
22.92841,62.828365,Gavan
-18.616344,70.30908,O
4.283884,76.62986,Connor
-12.1035595,75.94675,says
-11.489626,76.13659,letter
-4.0278115,81.422646,sent
21.94529,71.76013,2002
-20.504564,77.12981,","
-42.461918,32.926437,same
-48.596226,23.586258,time
6.773075,75.903656,though
21.708616,71.28921,a
-40.247135,69.38064,trucking
22.923813,62.818142,company
15.788743,74.8851,He
-46.219326,51.340107,can
-46.327103,37.705463,longer
-57.62592,16.29327,wipe
-46.909348,73.3761,its
-43.20025,46.73227,hands
-32.332806,64.98461,illicit
-46.74742,73.392654,payments
12.247437,72.4725,which
15.049235,74.98514,$
15.224143,75.68328,290
13.597285,71.16308,million
-44.29982,52.403996,""""
-55.31568,26.864733,responsibility
14.864344,73.40346,this
-55.467136,26.743378,must
-41.9565,72.94143,lay
-45.778866,36.834274,may
-14.797637,72.85331,at
-51.679523,18.914026,feet
17.102287,72.76318,Coalition
14.598935,73.72579,ministers
-32.868206,62.48409,trade
16.764576,70.141685,agriculture
-57.56165,14.32727,","""
-44.318947,52.390743,said
-47.57959,37.68483,But
21.27966,67.53747,show
-39.722755,69.14381,about
-45.52334,74.09047,future
14.654812,73.736885,do
17.891018,74.28009,not
-46.58135,73.54099,prove
-10.055345,78.070206,It
-50.62139,5.4893045,would
-54.166534,8.785172,if
18.047892,74.347565,as
12.119581,73.89019,I
-40.934666,69.29343,hadn
20.20289,54.637787,t
11.617433,73.66753,done
12.593959,71.16943,anything
15.321844,71.138725,possibly
-50.158524,19.858065,could
11.240976,73.73741,preserve
21.460005,70.81272,Australia
19.329165,70.51269,very
-37.4539,71.09097,valuable
-46.212883,51.344166,market
17.276796,73.328224,questions
2.1568065,71.98669,Today
13.080372,74.09034,trading
11.6197,66.99296,manager
-18.272226,72.25184,Peter
-45.599148,73.8065,questioned
-41.251408,68.11603,an
-42.29218,48.28882,email
-5.0564423,76.71674,received
-47.373646,37.900303,May
9.918988,73.318695,2000
-54.762142,25.306517,indicated
9.911747,72.55605,that
-11.491375,76.52343,Iraqi
21.34158,67.50976,Grains
-46.254395,36.771084,Board
5.418808,72.3277,had
-41.651287,50.97684,approached
13.25984,72.0867,provide
14.018514,72.476814,after
-57.05283,22.219631,-
-28.515089,61.938263,service
-28.443624,72.834564,"""."
-12.12353,75.885025,two
-11.612071,76.197296,colleagues
6.3276777,72.60854,did
-56.15043,23.459154,remember
15.234922,75.63473,reading
17.01623,74.56321,it
1.2695792,76.61954,although
19.23308,70.731544,still
4.539548,76.35623,plenty
11.381486,75.245674,support
-57.539,14.34485,among
-46.53543,37.621136,grain
22.795685,62.772266,growers
-17.057137,71.91296,central
-37.460518,71.04735,western
9.783569,74.16617,New
-47.585358,37.750587,South
9.026667,72.983475,Wales
-37.700874,69.01623,Producers
-50.026184,19.715567,say
-19.949322,72.12542,they
-41.59768,50.795845,broadly
-42.11574,72.82739,attempts
-5.044913,76.66937,get
-1.364258,72.08236,best
-40.15765,74.09233,prices
11.661743,73.59269,their
-57.242237,16.846176,products
-55.33049,26.688255,think
15.59685,71.490234,all
18.57522,68.672516,overseas
16.88725,72.67695,interests
-55.784515,11.428439,try
-45.416954,36.86082,single
-34.040234,48.63015,desk
-44.31257,73.410484,put
-53.953606,24.612612,aside
-16.795162,69.740685,stories
8.610939,75.10168,are
2.4440742,73.03487,going
17.375444,56.837025,round
-11.375809,75.72671,commission
-10.436897,77.71946,everything
27.477833,55.229557,way
-45.563847,73.7414,people
17.037437,71.739204,got
-42.66266,45.207832,things
-24.839417,71.63269,business
-5.4244823,73.15482,Middle
12.377374,70.26557,East
-17.188309,73.4657,Asian
7.7897825,71.95808,countries
16.710106,72.115906,producer
-2.1380801,74.372505,actually
-23.59828,70.0325,pretty
16.614937,71.28843,reasonable
-41.36959,49.539814,system
-43.019012,73.39511,d
8.573303,75.283646,give
-8.5316725,75.29588,them
14.908793,73.36287,fair
-30.211039,59.938614,moment
-38.758488,66.95405,average
1.5587221,72.96359,ve
-15.814727,73.20693,performed
-52.203224,29.087507,fairly
-54.007534,27.008091,well
16.842134,71.98262,another
22.657108,62.769726,biggest
-5.264741,73.75003,thing
-10.728441,73.554085,someone
-14.432861,70.53059,else
-39.781174,49.193398,taking
-7.027182,76.04656,over
19.130259,73.31213,is
-6.9999824,69.0531,whether
17.543465,67.26564,will
-3.8425398,74.13242,too
-43.13707,40.0846,much
3.75963,72.270454,foothold
-56.92871,23.33333,there
-14.904029,78.06992,take
-13.975094,75.73504,advantage
-53.93929,25.995571,"."""
-44.995533,19.93022,Grain
15.135268,66.93444,analyst
-28.138493,71.87366,predicts
-56.22105,23.321924,drop
19.03572,69.40196,20
-16.501865,72.64938,tonne
17.809853,74.03848,back
-40.95091,68.31515,Malcolm
-38.181206,19.329853,Bartholomaeus
-39.964737,70.50887,pool
10.210112,72.277756,returns
-46.01255,72.81945,already
-48.79373,67.45924,dropped
-38.12584,50.983894,year
10.818675,72.11518,price
-5.025155,76.57636,past
11.287813,75.474075,five
10.378619,73.147125,years
-12.176713,74.444725,through
-53.60246,17.113096,export
12.705365,73.9048,monopoly
12.531304,65.654526,severely
-43.1568,73.2758,eroded
-21.527067,71.59263,SA
-1.7255933,70.17905,farmers
-57.1005,12.976303,help
0.9584955,73.0808,fire
-1.1546795,69.57892,ravaged
13.869325,72.31648,neighbours
10.785166,72.5052,Farmers
-19.96823,71.31194,south
-44.509064,73.04199,east
-11.078223,75.582115,hay
-40.932663,49.32966,across
-19.853222,68.58838,border
8.022484,56.567463,wake
9.728313,73.22068,Grampians
-10.215796,72.82163,bushfires
-16.047646,72.904816,just
-38.133495,51.128387,few
-23.112486,69.72352,days
-19.93518,72.11583,donated
-55.87061,16.498478,250
-32.256523,64.57399,tonnes
-24.318123,62.34507,agistment
-57.0652,22.453161,cattle
8.562214,73.87793,They
-28.064096,62.070778,beginning
-45.93077,72.86662,Fodder
-39.43979,69.03168,drive
-39.51221,45.781548,coordinator
-41.888813,72.64522,response
-56.926216,13.136587,All
-20.94154,75.296074,week
16.616838,69.88363,gone
-38.85541,67.69772,places
-16.860096,73.28721,load
-42.385647,48.003857,or
-44.39452,73.0386,up
15.594737,72.05105,loads
-54.646935,25.316982,We
-1.2421645,71.48211,man
-28.169594,57.23037,full
-24.882965,71.62932,rest
20.923597,63.188274,straight
-45.98176,72.840576,we
-38.13318,50.9485,re
15.145671,70.097565,moving
